host_key,host_name,normalized_host_name,primary_venue_type,district_name,grid_id,lon_wgs84,lat_wgs84,liminal_class,verification_priority_score,liminal_potential_score,pet_service_exposure_500m,liminal_rule_exposure_800m,explicit_open_rule_exposure_800m,restrictive_rule_exposure_800m,nearest_liminal_rule_m,nearest_explicit_open_rule_m,strongest_rule_source_id,strongest_rule_name,strongest_rule_state,strongest_rule_distance_m,recommended_source_strategy,verification_question,claim_boundary,verifier,checked_at,source_found,source_url,source_title,source_date,accessed_at,evidence_quote,venue_identity_match,geographic_identity_match,rule_position_verified,access_direction_verified,conditions_or_restrictions,archive_or_screenshot_path,validation_decision,confidence_1_5,verified_rule_direction_class,validation_pass
shopping_mall|春熙台拌饭·深圳之眼店深南大道岗厦北站深圳之眼购物中心|福田区,春熙台拌饭·深圳之眼店 深南大道岗厦北站深圳之眼购物中心,春熙台拌饭·之眼深南大道岗厦北站之眼,shopping_mall,福田区,SZ500_0064_0034,114.05883095304333,22.54288058782537,rule_liminal_threshold_core,1.3328798234302883,0.996079673086803,0.968489182416242,3.13852055955972,0.3503191814154001,0.0619417562548466,98.87756868805164,223.69354141219856,PPR_029,深圳养犬服务平台领养和寻宠功能,conditional_liminal_rule,98.87756868805164,operator_site_or_mall_notice|wechat_official_account|mall_service_desk_rule,"Does the mall publish pet-entry rules, pet elevators, pet toilets, stroller/carrier rules, or pet-friendly tenant stickers?",candidate_only_not_observed_pet_friendly,马,2026/6/10,无,无,无,无,2026/6/10,无,是,是,否,否,无,无,不通过,2,not_source_verifiable,False
shopping_mall|深南大道2006号深圳之眼购物中心|福田区,深南大道2006号深圳之眼购物中心,深南大道2006号之眼,shopping_mall,福田区,SZ500_0064_0034,114.05895879244852,22.543136350276445,rule_liminal_threshold_core,1.3095751986767863,0.9953552660769536,0.9355815722584208,3.028131586177768,0.3716560132324259,0.0577085534339445,109.0760185878594,210.6832053507562,PPR_029,深圳养犬服务平台领养和寻宠功能,conditional_liminal_rule,109.0760185878594,operator_site_or_mall_notice|wechat_official_account|mall_service_desk_rule,"Does the mall publish pet-entry rules, pet elevators, pet toilets, stroller/carrier rules, or pet-friendly tenant stickers?",candidate_only_not_observed_pet_friendly,马,2026/6/10,无,无,无,无,2026/6/10,无,是,是,否,否,无,无,不通过,2,not_source_verifiable,False
shopping_mall|福田街道详细深南大道2006路深圳之眼购物中心|福田区,福田街道详细深南大道2006路深圳之眼购物中心,福田街道详细深南大道2006路之眼,shopping_mall,福田区,SZ500_0064_0034,114.05898382351634,22.542227368780097,rule_liminal_threshold_core,1.2647092596468712,0.9915819031679094,1.4791665465042876,2.60086483285497,0.348983985780578,0.1274533846977354,147.65902246187753,224.53378921258363,PPR_029,深圳养犬服务平台领养和寻宠功能,conditional_liminal_rule,147.65902246187753,operator_site_or_mall_notice|wechat_official_account|mall_service_desk_rule,"Does the mall publish pet-entry rules, pet elevators, pet toilets, stroller/carrier rules, or pet-friendly tenant stickers?",candidate_only_not_observed_pet_friendly,马,2026/6/10,无,无,无,无,2026/6/10,无,是,是,否,否,无,无,不通过,2,not_source_verifiable,False
residential_property|邻安|福田区,邻安,邻安,residential_property,福田区,SZ500_0064_0034,114.0590577574694,22.54196925911934,rule_liminal_threshold_core,1.2184509835507151,0.9730370813626606,1.7223465682543602,2.331584385855744,0.3399846065137866,0.1370518563985154,172.94833503595368,230.2847430367328,PPR_029,深圳养犬服务平台领养和寻宠功能,conditional_liminal_rule,172.94833503595368,property_notice|community_public_account|subdistrict_governance_page,Does property/community management designate pet activity space or publish pet access/cleanup rules?,candidate_only_not_observed_pet_friendly,马,2026/6/10,无,无,无,无,2026/6/10,无,是,是,否,否,无,无,不通过,2,not_source_verifiable,False
shopping_mall|岗厦北站深圳之眼购物中心|福田区,岗厦北站深圳之眼购物中心,岗厦北站之眼,shopping_mall,福田区,SZ500_0064_0034,114.05965500694246,22.54335014835151,rule_liminal_threshold_core,1.1828527893542198,0.9878040400891532,1.2016797041955427,2.2317998444002165,0.4992129966269287,0.0,182.79071118208464,143.80100968924074,PPR_085,深圳国际创新中心A座周边宠物友好空间,explicit_open_rule,143.80100968924074,operator_site_or_mall_notice|wechat_official_account|mall_service_desk_rule,"Does the mall publish pet-entry rules, pet elevators, pet toilets, stroller/carrier rules, or pet-friendly tenant stickers?",candidate_only_not_observed_pet_friendly,马,2026/6/10,无,无,无,无,2026/6/10,无,是,是,否,否,无,无,不通过,2,not_source_verifiable,False
residential_property|金地中心|福田区,金地中心,金地中心,residential_property,福田区,SZ500_0064_0033,114.05864626420842,22.54131401183065,rule_liminal_threshold_core,1.1261455989554878,0.9357550564287004,1.8757663973823329,1.9531936421756744,0.2427963701647056,0.169690936237314,212.32588769257745,305.99444624438445,PPR_029,深圳养犬服务平台领养和寻宠功能,conditional_liminal_rule,212.32588769257745,property_notice|community_public_account|subdistrict_governance_page,Does property/community management designate pet activity space or publish pet access/cleanup rules?,candidate_only_not_observed_pet_friendly,马,2026/6/10,无,无,无,无,2026/6/10,无,是,是,否,否,无,无,不通过,2,not_source_verifiable,False
shopping_mall|深南大道岗厦北地铁站深圳之眼购物中心|福田区,深南大道岗厦北地铁站深圳之眼购物中心,深南大道岗厦北地铁站之眼,shopping_mall,福田区,SZ500_0064_0034,114.06031732772426,22.542898573257148,rule_liminal_threshold_core,1.1145662172542514,0.9783068721133936,1.723370010763405,1.6474612242068312,0.644992641294736,0.0583494804256466,249.8610206006436,71.17391559604759,PPR_085,深圳国际创新中心A座周边宠物友好空间,explicit_open_rule,71.17391559604759,operator_site_or_mall_notice|wechat_official_account|mall_service_desk_rule,"Does the mall publish pet-entry rules, pet elevators, pet toilets, stroller/carrier rules, or pet-friendly tenant stickers?",candidate_only_not_observed_pet_friendly,马,2026/6/10,无,无,无,无,2026/6/10,无,是,是,否,否,无,无,不通过,2,not_source_verifiable,False
shopping_mall|卓悦中心北区|福田区,卓悦中心北区,卓悦中心北区,shopping_mall,福田区,SZ500_0064_0033,114.05990585277029,22.5415268481898,rule_liminal_threshold_core,1.097674773286294,0.9587949920420756,2.513917946918069,1.5035190006715478,0.3930153168498267,0.1494190453389974,270.26116836696843,198.3549137961297,PPR_085,深圳国际创新中心A座周边宠物友好空间,explicit_open_rule,198.3549137961297,operator_site_or_mall_notice|wechat_official_account|mall_service_desk_rule,"Does the mall publish pet-entry rules, pet elevators, pet toilets, stroller/carrier rules, or pet-friendly tenant stickers?",candidate_only_not_observed_pet_friendly,马,2026/6/10,是,https://www.petdhw.com/jinhua-show-36758.html,深圳 10 个宠物友好的 MALL,2023/12/31,2026/6/10,福田 One Avenue 卓悦中心禁止烈性犬、大型犬进入，场内宠物需抱起或使用宠物箱、宠物推车；商场户外广场、草坪可作为宠物活动区域，场内设有超 90 家宠物友好门店。同时要求宠主牵好宠物，携带清洁用具，文明携宠购物。,是,是,是,是,1. 烈性犬、大型犬禁止入场；2. 商场室内区域宠物必须抱持或放置在宠物箱、推车中，不可落地；3. 仅户外广场、草坪允许宠物自由活动；4. 宠主需全程牵绳，及时清理宠物排泄物，避免影响他人。,,通过,4,verified_conditional_or_zoned_access,True
park_or_recreation|jpplus室内蹦极(深圳oneavenue·卓悦中心北区)|福田区,JP plus室内蹦极(深圳One Avenue·卓悦中心北区),JPplus室内蹦极,park_or_recreation,福田区,SZ500_0064_0033,114.05933250252544,22.54118784110417,rule_liminal_threshold_core,1.0943560110867998,0.9594843044170916,2.320753150520781,1.5869005458298324,0.2917347517494796,0.1723501798508504,258.1862518600327,264.20956111762155,PPR_029,深圳养犬服务平台领养和寻宠功能,conditional_liminal_rule,258.1862518600327,official_park_notice|operator_event_page|on_site_rule_board,"Does the public or operator notice explicitly allow pets, designate pet zones, or require leash/cleanup rules?",candidate_only_not_observed_pet_friendly,马,2026/6/10,无,无,无,无,2026/6/10,无,是,是,否,否,无,无,不通过,2,not_source_verifiable,False
shopping_mall|华富街道地铁14号线岗厦北站深圳之眼购物中心|福田区,华富街道地铁14号线岗厦北站深圳之眼购物中心,华富街道地铁14号线岗厦北站之眼,shopping_mall,福田区,SZ500_0064_0034,114.0606040067925,22.543076580193144,rule_liminal_threshold_core,1.074184948094495,0.9729907605578594,1.680758507640955,1.4502774453300944,0.6878565642822801,0.054759831927629,278.3870659536701,41.64130828068397,PPR_085,深圳国际创新中心A座周边宠物友好空间,explicit_open_rule,41.64130828068397,operator_site_or_mall_notice|wechat_official_account|mall_service_desk_rule,"Does the mall publish pet-entry rules, pet elevators, pet toilets, stroller/carrier rules, or pet-friendly tenant stickers?",candidate_only_not_observed_pet_friendly,马,2026/6/10,无,无,无,无,2026/6/10,无,是,是,否,否,无,无,不通过,2,not_source_verifiable,False
